index,true,pred,pred_conf,margin,text
359,Irrelevant Content,Rant/Complaint (without visit),0.9999256134033203,0.9998665452003479,dirty
221,Relevant and Quality,Rant/Complaint (without visit),0.8660091757774353,0.7486934661865234,"enjoyed meeting, the new owner tim, in the new location next barre city hall,
to shop for our wedding cake 🥂🍾🎂
the tim met with us to get to know us, what we were looking for?
what we liked?
disliked?
must haves?
then he sat us down, gave us each a glass of water & choices to try different types of cake, filling and frosting combinations of what his bakery offers.
this was not just paperwork and some notes like at grocery stores do. for us it was a great experience  that was fun and worth it for any couple who wants a cake they can call their own.
tim's knowledge of; what can and cannot be done ✅ with your cake or pastry choices, the environment your choice will be in, amount needed to accommodate your event and decoration if needed i.e. wedding topper, colors, depends on the event.
we met april who would be making our cake.
our experience was so wonderful we invited him to the wedding if he would like to attend.

thanks to the tim and his staff who were involved with our cake, it was exactly like the combination we created but better because it was the final product. pictures to come soon."
499,Irrelevant Content,Rant/Complaint (without visit),0.6934829950332642,0.5241341590881348,not bad
63,Relevant and Quality,Rant/Complaint (without visit),0.6608409285545349,0.5172178745269775,"very clean theater, terrible popcorn. don't buy refill popcorn. they sell you old popcorn thats already bagged up in counter then go for refill hoping for fresh batch. already closed concession before movie over ."
15,Relevant and Quality,Rant/Complaint (without visit),0.6131412982940674,0.4339219331741333,"a little too dirty, crowded and the slide is not operational. kid had a blast."
130,Relevant and Quality,Rant/Complaint (without visit),0.5662303566932678,0.3868967294692993,okay so lowe's vs. home depot? home depot if you're looking for inexpensive quality lighting. they always win hands down.
162,Relevant and Quality,Rant/Complaint (without visit),0.54286128282547,0.3039782643318176,"the service is always excellent, the food is pretty good. i suggest the full rack of baby back ribs. sadly the beer selection is very poor. they need a new drink menu for sure. not a bad place to stop for lunch or there are reasonable prices. most days dinner time gets very busy at this location."
100,Irrelevant Content,Rant/Complaint (without visit),0.5270190238952637,0.21728187799453735,go to the mall to get mailed!
436,Relevant and Quality,Spam/Advertisement,0.4663706421852112,0.2056867480278015,wow fantastic meal ... ask for the seats at the kitchen bartop
115,Relevant and Quality,Irrelevant Content,0.4513038694858551,0.24550290405750275,"decent prices, close to lots of stuff"
230,Relevant and Quality,Irrelevant Content,0.44522345066070557,0.19516390562057495,polite and professional
255,Relevant and Quality,Spam/Advertisement,0.4450828433036804,0.19008618593215942,"nice ambience, ok food"
338,Relevant and Quality,Spam/Advertisement,0.44494062662124634,0.18041643500328064,good selection knowledgeable staff
237,Irrelevant Content,Spam/Advertisement,0.44330987334251404,0.19546495378017426,excellent!!
48,Irrelevant Content,Relevant and Quality,0.43838950991630554,0.11341139674186707,great.
19,Relevant and Quality,Spam/Advertisement,0.4348876178264618,0.15262198448181152,"turkey bacon sub. they are huge!!!
great value!"
